Puzzle #,h1 # of Steps,h1 # Nodes Expanded,h2 # of Steps,h2 # Nodes Expanded,h3 # of Steps,h3 # Nodes Expanded
1,30,1365200,30,357,30,276
2,26,203647,26,391,26,187
3,28,2909981,28,36009,28,13320
4,22,16025,22,280,22,214
5,32,15113411,32,30909,32,13815
6,26,516162,26,15324,26,4705
7,34,34923543,34,27982,34,11271
8,32,22398792,32,28348,32,14080
9,28,226178,28,443,28,134
10,18,1110,18,48,18,46
11,28,933677,28,16928,28,6084
12,16,2611,16,425,16,254
13,32,7738881,32,3662,32,1966
14,34,60674439,34,86730,34,27757
15,30,1766036,30,1828,30,873
16,26,156769,26,720,26,361
17,34,72690739,34,177853,34,90008
18,26,238451,26,2934,26,925
19,28,752326,28,2740,28,1839
20,18,1218,18,26,18,26
21,26,668238,26,9299,26,3367
22,32,8998124,32,27132,32,4677
23,20,927,20,20,20,20
24,32,9469344,32,22274,32,8994
25,28,1335085,28,16564,28,4269
26,22,36576,22,1114,22,687
27,36,252690569,36,54135,36,17182
28,34,48371437,34,33354,34,3061
29,34,40608716,34,62511,34,8218
30,30,2981241,30,8661,30,1070
31,28,1242173,28,6652,28,1993
32,28,1119323,28,8371,28,2645
33,38,989579406,38,1720120,38,206762
34,28,580328,28,2927,28,608
35,30,2252888,30,1339,30,651
36,36,94226670,36,121685,36,13910
37,34,30211522,34,50942,34,10481
38,30,8776817,30,29719,30,14756
39,32,17394871,32,46087,32,7850
40,28,410926,28,2142,28,1127
41,22,9081,22,234,22,38
42,28,748609,28,1568,28,372
43,26,254088,26,6839,26,2588
44,20,9647,20,308,20,236
45,30,2049887,30,3735,30,1723
46,36,147924985,36,54672,36,23707
47,36,111564287,36,18200,36,8141
48,22,7448,22,172,22,75
49,32,10789734,32,43254,32,7230
50,30,2870755,30,11780,30,2088
51,32,22366371,32,14520,32,6190
52,24,80419,24,3515,24,1824
53,34,30509327,34,14081,34,3344
54,30,3927526,30,22507,30,9146
55,32,13962826,32,27837,32,11009
56,28,1393484,28,8148,28,2070
57,30,5884568,30,9422,30,5471
58,28,1135696,28,8597,28,3342
59,32,32901468,32,111971,32,40532
60,34,47689279,34,40178,34,6267
61,38,419776876,38,51082,38,7946
62,30,2299660,30,5102,30,1476
63,32,7387988,32,18831,32,9093
64,32,7176352,32,3176,32,1972
65,34,105632336,34,319317,34,105646
66,32,9100244,32,56788,32,14749
67,28,236996,28,408,28,133
68,32,18036350,32,182181,32,38271
69,32,7569812,32,8920,32,1175
70,36,146213066,36,16285,36,3632
71,34,58677657,34,135481,34,25312
72,34,45636267,34,70865,34,11152
73,30,3433798,30,19859,30,11778
74,30,2701140,30,14181,30,3788
75,34,35707925,34,86703,34,10166
76,28,1017282,28,675,28,339
77,24,70569,24,219,24,158
78,32,37815811,32,150794,32,81551
79,22,11165,22,593,22,145
80,30,2663877,30,2936,30,1698
81,34,103235884,34,251505,34,43008
82,30,2628381,30,6559,30,2559
83,30,4808954,30,13393,30,5163
84,30,2918396,30,8419,30,3022
85,22,19411,22,671,22,283
86,34,122042804,34,111974,34,28589
87,22,13869,22,117,22,64
88,30,2620759,30,2966,30,999
89,34,27760040,34,5190,34,2334
90,28,1013534,28,12743,28,3354
91,32,13374374,32,13783,32,7593
92,32,17505616,32,24310,32,4871
93,30,845624,30,136,30,71
94,28,1001011,28,2161,28,983
95,34,54672905,34,67413,34,21712
96,32,8395017,32,45419,32,9549
97,28,1773883,28,10433,28,4864
98,38,960048297,38,301340,38,45470
99,34,40361944,34,114169,34,20802
100,34,46707267,34,178295,34,32343
