Puzzle #,h1 # of Steps,h1 # of Nodes Expanded,h2 # of Steps,h2 # of Nodes Expanded,h3 # of Steps,h3 # of Nodes Expanded
1.0,22.0,8875.0,22.0,481.0,22.0,246.0
2.0,24.0,22115.0,24.0,1520.0,24.0,756.0
3.0,28.0,106730.0,28.0,9654.0,28.0,5490.0
4.0,16.0,492.0,16.0,53.0,16.0,39.0
5.0,22.0,9735.0,22.0,1388.0,22.0,877.0
6.0,25.0,38048.0,25.0,3088.0,25.0,1528.0
7.0,22.0,9580.0,22.0,1160.0,22.0,694.0
8.0,21.0,5810.0,21.0,184.0,21.0,103.0
9.0,22.0,10591.0,22.0,301.0,22.0,139.0
10.0,22.0,8720.0,22.0,596.0,22.0,319.0
11.0,18.0,2305.0,18.0,599.0,18.0,390.0
12.0,21.0,6838.0,21.0,759.0,21.0,445.0
13.0,26.0,51768.0,26.0,4028.0,26.0,2372.0
14.0,23.0,15945.0,23.0,936.0,23.0,628.0
15.0,25.0,38864.0,25.0,4762.0,25.0,2245.0
16.0,24.0,21979.0,24.0,1459.0,24.0,772.0
17.0,21.0,6512.0,21.0,868.0,21.0,508.0
18.0,20.0,3713.0,20.0,503.0,20.0,184.0
19.0,21.0,6842.0,21.0,801.0,21.0,400.0
20.0,27.0,81172.0,27.0,3920.0,27.0,2077.0
21.0,17.0,872.0,17.0,48.0,17.0,29.0
22.0,21.0,6058.0,21.0,531.0,21.0,318.0
23.0,19.0,2372.0,19.0,242.0,19.0,137.0
24.0,19.0,2404.0,19.0,142.0,19.0,126.0
25.0,22.0,11525.0,22.0,987.0,22.0,488.0
26.0,17.0,1182.0,17.0,276.0,17.0,183.0
27.0,20.0,3706.0,20.0,436.0,20.0,244.0
28.0,24.0,20792.0,24.0,746.0,24.0,356.0
29.0,25.0,36266.0,25.0,1565.0,25.0,921.0
30.0,23.0,15945.0,23.0,1714.0,23.0,675.0
31.0,18.0,1540.0,18.0,252.0,18.0,156.0
32.0,22.0,9021.0,22.0,688.0,22.0,421.0
33.0,16.0,412.0,16.0,24.0,16.0,16.0
34.0,21.0,7015.0,21.0,807.0,21.0,540.0
35.0,20.0,4824.0,20.0,589.0,20.0,287.0
36.0,23.0,15600.0,23.0,1185.0,23.0,610.0
37.0,22.0,9210.0,22.0,1017.0,22.0,530.0
38.0,21.0,6912.0,21.0,927.0,21.0,591.0
39.0,15.0,372.0,15.0,55.0,15.0,44.0
40.0,24.0,27563.0,24.0,2214.0,24.0,961.0
41.0,16.0,500.0,16.0,89.0,16.0,47.0
42.0,23.0,16911.0,23.0,1690.0,23.0,1018.0
43.0,25.0,38152.0,25.0,2337.0,25.0,1188.0
44.0,19.0,2348.0,19.0,262.0,19.0,125.0
45.0,22.0,8866.0,22.0,481.0,22.0,246.0
46.0,20.0,3955.0,20.0,792.0,20.0,504.0
47.0,26.0,48105.0,26.0,1007.0,26.0,683.0
48.0,23.0,15779.0,23.0,1205.0,23.0,659.0
49.0,21.0,6848.0,21.0,891.0,21.0,451.0
50.0,10.0,42.0,10.0,14.0,10.0,14.0
51.0,21.0,6971.0,21.0,736.0,21.0,529.0
52.0,24.0,21564.0,24.0,1350.0,24.0,599.0
53.0,25.0,37435.0,25.0,2932.0,25.0,1478.0
54.0,21.0,6871.0,21.0,897.0,21.0,537.0
55.0,22.0,7885.0,22.0,127.0,22.0,69.0
56.0,20.0,3444.0,20.0,322.0,20.0,171.0
57.0,21.0,7111.0,21.0,1025.0,21.0,600.0
58.0,19.0,2817.0,19.0,524.0,19.0,333.0
59.0,23.0,16570.0,23.0,1561.0,23.0,828.0
60.0,27.0,84168.0,27.0,8473.0,27.0,4444.0
61.0,18.0,1447.0,18.0,218.0,18.0,129.0
62.0,25.0,38648.0,25.0,3501.0,25.0,1749.0
63.0,23.0,17460.0,23.0,2442.0,23.0,1037.0
64.0,20.0,3914.0,20.0,558.0,20.0,284.0
65.0,19.0,2818.0,19.0,390.0,19.0,259.0
66.0,25.0,37588.0,25.0,2637.0,25.0,1546.0
67.0,21.0,6452.0,21.0,473.0,21.0,348.0
68.0,23.0,16441.0,23.0,1621.0,23.0,760.0
69.0,24.0,28119.0,24.0,2076.0,24.0,950.0
70.0,22.0,9702.0,22.0,1126.0,22.0,592.0
71.0,24.0,23562.0,24.0,3020.0,24.0,1448.0
72.0,22.0,9649.0,22.0,939.0,22.0,593.0
73.0,21.0,5866.0,21.0,176.0,21.0,116.0
74.0,17.0,978.0,17.0,144.0,17.0,104.0
75.0,23.0,15861.0,23.0,1161.0,23.0,681.0
76.0,25.0,36578.0,25.0,1354.0,25.0,693.0
77.0,25.0,38717.0,25.0,3545.0,25.0,1973.0
78.0,23.0,15752.0,23.0,1179.0,23.0,692.0
79.0,19.0,2552.0,19.0,413.0,19.0,187.0
80.0,23.0,17265.0,23.0,2134.0,23.0,1100.0
81.0,19.0,2615.0,19.0,311.0,19.0,194.0
82.0,24.0,22634.0,24.0,1963.0,24.0,819.0
83.0,18.0,1966.0,18.0,439.0,18.0,239.0
84.0,18.0,1683.0,18.0,389.0,18.0,238.0
85.0,16.0,611.0,16.0,187.0,16.0,110.0
86.0,25.0,35988.0,25.0,1197.0,25.0,682.0
87.0,18.0,1448.0,18.0,216.0,18.0,132.0
88.0,15.0,406.0,15.0,79.0,15.0,58.0
89.0,21.0,6785.0,21.0,653.0,21.0,314.0
90.0,23.0,17742.0,23.0,2485.0,23.0,1106.0
91.0,26.0,50826.0,26.0,2686.0,26.0,1347.0
92.0,28.0,128781.0,28.0,12738.0,28.0,6184.0
93.0,22.0,8249.0,22.0,402.0,22.0,175.0
94.0,19.0,2153.0,19.0,131.0,19.0,76.0
95.0,18.0,1150.0,18.0,46.0,18.0,39.0
96.0,6.0,11.0,6.0,7.0,6.0,7.0
97.0,21.0,7212.0,21.0,941.0,21.0,546.0
98.0,13.0,183.0,13.0,58.0,13.0,39.0
99.0,24.0,22934.0,24.0,2224.0,24.0,1106.0
100.0,27.0,85919.0,27.0,10269.0,27.0,5109.0
